"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"1295","4.751429","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1361133 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1296","4.751441","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","HANDOver DETection "
"1297","4.751487","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=1364029 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1298","4.751506","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1365477 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1299","4.751525","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1366925 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1300","4.751571","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","unknown 125 "
"1301","4.751585","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1369821 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1302","4.751624","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","TFO REPort "
"1303","4.751694","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"1304","4.761755","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=1372717 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1305","4.761774","10.0.0.101","192.168.0.3","OML","1514","5000,35644","1448","OML "
"1306","4.761790","10.0.0.101","192.168.0.3","IPA","1514","5000,35644","1448","OSMO EXT unknown 0x14 "
"1307","4.761798","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=1377061 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1308","4.761839","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1378509 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1309","4.761852","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=45701 Ack=1375613 Win=28992 Len=0 TSval=1654348500 TSecr=1785881083"
