"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"4930","28.946041","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4604705 Ack=231701 Win=16088 Len=1448 TSval=1784755279 TSecr=1653222417"
"4931","28.946043","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=231701 Ack=4603257 Win=28968 Len=0 TSval=1653222448 TSecr=1784755279"
"4932","28.946119","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=231701 Ack=4606153 Win=28944 Len=0 TSval=1653222448 TSecr=1784755279"
"4933","28.946555","192.168.0.3","10.0.0.101","RSL","1116","35644,5000","1050","PAGING CoMmanD "
"4934","28.956095","10.0.0.101","192.168.0.3","TCP","362","5000,35644","296","5000  >  35644 [PSH, ACK] Seq=4606153 Ack=231701 Win=16088 Len=296 TSval=1784755284 TSecr=1653222437"
"4935","28.956110","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"4936","28.956140","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","unknown 78 "
"4937","28.956174","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4609345 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4938","28.956186","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4610793 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4939","28.956209","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4612241 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4940","28.956222","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=232751 Ack=4609345 Win=28980 Len=0 TSval=1653222458 TSecr=1784755284"
"4941","28.956241","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4613689 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4942","28.956273","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=232751 Ack=4612241 Win=28956 Len=0 TSval=1653222458 TSecr=1784755293"
"4943","28.956285","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access CRCX "
"4944","28.956304","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4616585 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4945","28.956336","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=232751 Ack=4615137 Win=28932 Len=0 TSval=1653222458 TSecr=1784755293"
"4946","28.956349","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4618033 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4947","28.956379","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4619481 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4948","28.956390","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=232751 Ack=4618033 Win=28908 Len=0 TSval=1653222458 TSecr=1784755293"
"4949","28.956402","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4620929 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4950","28.956412","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4622377 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
"4951","28.956422","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4623825 Ack=231701 Win=16088 Len=1448 TSval=1784755293 TSecr=1653222438"
